time,"P(B1|X1)","P(B1|X2)","P(B2|X2)","P(B1|X3)","P(B2|X3)","P(B1|X4)","P(B2|X4)","P(B1|X5)","P(B2|X5)","P(B5|X9)","P(B1|X9)","P(B1|X6)","P(B1|X7)","P(B2|X7)","P(B1|X8)","P(B2|X8)","P(B2|X9)","P(B3|X9)","P(B4|X9)","P(B6|X9)","P(B1|X10)","P(B2|X10)","P(B1|X11)","P(B2|X11)","P(B1|X12)"
0.000000e+00,-0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.000000e-13,2.889860e-05,3.012596e-05,3.037190e-05,3.017806e-05,3.033512e-05,3.027947e-05,3.032865e-05,3.024227e-05,3.125741e-05,2.863658e-05,-5.753785e-07,2.889861e-05,3.012603e-05,3.037343e-05,3.021869e-05,3.118747e-05,3.037606e-05,5.758864e-05,2.243400e-05,2.614884e-05,3.151886e-05,3.044002e-05,3.018061e-05,3.033628e-05,2.889268e-05
4.000000e-13,1.609685e-04,1.682643e-04,1.696616e-04,1.685926e-04,1.694556e-04,1.691462e-04,1.694250e-04,1.689635e-04,1.745596e-04,1.592161e-04,-4.342534e-06,1.609685e-04,1.682648e-04,1.696713e-04,1.688335e-04,1.742338e-04,1.683369e-04,2.870377e-04,1.146612e-04,1.457751e-04,1.760718e-04,1.700649e-04,1.686075e-04,1.694379e-04,1.611548e-04
6.000000e-13,5.125714e-04,5.376321e-04,5.421954e-04,5.388347e-04,5.415401e-04,5.405597e-04,5.414609e-04,5.400665e-04,5.576513e-04,5.066000e-04,-1.730203e-05,5.125715e-04,5.376340e-04,5.422307e-04,5.396594e-04,5.568576e-04,5.345900e-04,8.261287e-04,3.395635e-04,4.650424e-04,5.626241e-04,5.435718e-04,5.388843e-04,5.413783e-04,5.139847e-04
8.000000e-13,1.226051e-03,1.291305e-03,1.302570e-03,1.294660e-03,1.301018e-03,1.298691e-03,1.300875e-03,1.297748e-03,1.339112e-03,1.212005e-03,-4.962684e-05,1.226052e-03,1.291311e-03,1.302668e-03,1.296798e-03,1.337884e-03,1.277935e-03,1.804834e-03,7.659143e-04,1.115436e-03,1.351327e-03,1.306125e-03,1.294783e-03,1.300298e-03,1.231731e-03
1.000000e-12,2.448992e-03,2.591890e-03,2.615274e-03,2.599785e-03,2.612236e-03,2.607641e-03,2.612053e-03,2.606274e-03,2.687199e-03,2.423543e-03,-1.159309e-04,2.448993e-03,2.591904e-03,2.615506e-03,2.604440e-03,2.686241e-03,2.555572e-03,3.326492e-03,1.462217e-03,2.236132e-03,2.712110e-03,2.622985e-03,2.600036e-03,2.609951e-03,2.465711e-03
1.200000e-12,4.314440e-03,4.591824e-03,4.634964e-03,4.608330e-03,4.629787e-03,4.621816e-03,4.629656e-03,4.620389e-03,4.759372e-03,4.277705e-03,-2.350779e-04,4.314441e-03,4.591855e-03,4.635447e-03,4.617303e-03,4.760573e-03,4.514068e-03,5.459585e-03,2.493239e-03,3.956961e-03,4.803931e-03,4.649778e-03,4.608772e-03,4.623908e-03,4.354934e-03
1.400000e-12,6.925105e-03,7.417161e-03,7.490250e-03,7.448732e-03,7.482354e-03,7.469805e-03,7.482472e-03,7.469178e-03,7.685502e-03,6.884517e-03,-4.294815e-04,6.925109e-03,7.417222e-03,7.491170e-03,7.464523e-03,7.692448e-03,7.273542e-03,8.236106e-03,3.917673e-03,6.384479e-03,7.757725e-03,7.516250e-03,7.449420e-03,7.469289e-03,7.010682e-03
1.600000e-12,1.034279e-02,1.115597e-02,1.127214e-02,1.121227e-02,1.126119e-02,1.124289e-02,1.126189e-02,1.124453e-02,1.155596e-02,1.031749e-02,-7.238156e-04,1.034280e-02,1.115609e-02,1.127377e-02,1.123813e-02,1.157436e-02,1.091622e-02,1.165371e-02,5.785848e-03,9.592153e-03,1.166431e-02,1.131465e-02,1.121321e-02,1.123519e-02,1.050612e-02
1.800000e-12,1.458323e-02,1.585155e-02,1.602727e-02,1.594633e-02,1.601339e-02,1.598831e-02,1.601519e-02,1.599433e-02,1.641475e-02,1.460851e-02,-1.143128e-03,1.458324e-02,1.585176e-02,1.602999e-02,1.598624e-02,1.645272e-02,1.547969e-02,1.568006e-02,8.137077e-03,1.361487e-02,1.656743e-02,1.609288e-02,1.594745e-02,1.596592e-02,1.487104e-02
